ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
ADEA,IWM,0.91,0.97,2.66,-0.122895,-0.583383,0.2,,,09:00
ADI,IWM,0.8,0.89,0.99,0.729697,-1.371515,0.2;0.4;0.6–0.9,0.0;0.2–0.5,00:00;03:30–04:00,03:30
ADM,IWM,0.22,0.11,1.03,0.533883,-0.560485,0.2–0.3,0.2,00:30;03:00,00:30;09:00
ADMA,IWM,0.72,0.65,0.7,0.112857,-0.901429,0.6;1.2;1.6,0.0–0.4,00:30;02:30;04:00–04:30,09:00
ADNT,IWM,0.79,1.07,1.59,0.162201,-0.745031,0.2;0.5,0.1–0.2,,09:00
ADP,IWM,0.18,0.07,0.56,1.331964,-0.308571,0.6,0.3,04:00–09:30,09:00
ADPT,IWM,0.89,1.57,1.34,0.025522,-1.032388,2.7,0.0–0.5,,09:00
ADSE,IWM,0.26,0.43,2.03,0.01803,-0.759901,0.3,0.2,,09:00
ADSK,SPY,0.66,0.96,1.35,0.019259,-0.536593,0.2–0.4,0.0–0.2,00:00;03:00,03:00;09:00
ADUR,SPY,0.51,2.34,2.03,0.817734,-0.359015,2.7,0.1;0.6,02:30,09:00
ADUS,IWM,0.52,0.2,0.82,0.814634,-1.156098,0.4,0.1;0.6,,
ADX,SPY,0.91,0.98,0.45,0.591556,-0.123111,2.7,0.3–0.4,03:00;05:00–09:30,08:30–09:00
AEBI,IWM,0.61,0.52,1.64,0.235854,-0.387561,0.3;0.8,0.1,,09:00
AEE,IWM,0.01,0.05,0.38,1.303947,-1.072368,0.7,0.2–0.3,,09:00
AEHR,SPY,0.92,4.18,3.98,2.657337,-0.892261,2.7,0.1–0.4,00:30;01:30;05:00;07:00–08:00,09:00
AEIS,QQQ,0.93,1.91,2.19,0.548082,-0.844018,0.8,0.2–0.3,02:30–09:30,09:00
AEM,GDX,0.97,0.87,1.58,0.120316,-0.499684,0.2–0.5,0.1–0.3;0.7–0.8;1.4;1.6,00:30;01:30–02:00;03:00–05:00;06:00–07:00;08:00–09:30,05:00;08:00–08:30
AEO,IWM,0.7,0.7,3.96,0.208586,-0.213131,0.2;0.4,0.1–0.2;1.2,03:00,09:00
AEP,IWM,0.04,0.07,0.65,0.548308,-0.574923,0.4–0.5,0.3,,08:30
AER,SPY,0.63,0.36,0.79,1.008608,-0.550886,0.2–0.4,0.2;0.7,,09:00
AES,IWM,0.87,1.14,1.83,0.251148,-0.296284,0.2–0.4;0.6–0.7,0.0–0.6,00:00;01:00–01:30;03:30–04:30;06:30;08:00–09:30,04:00;08:30–09:00
AESI,XLE,0.82,1.71,2.27,0.386608,-0.547665,0.7,0.1–0.4;0.6,,09:00
AETH,IWM,0.44,0.18,1.26,0.217937,-0.158889,,,,
AEVA,SPY,0.89,4.64,2.56,1.596406,-4.303594,2.7,0.0–0.2;0.4,03:30–04:00;06:00,09:00
AEXA,SPY,0.59,0.9,1.14,0.178947,-0.558772,,0.0,04:30;05:30–09:30,09:00
AEYE,IWM,0.88,1.28,1.5,0.750667,-0.581333,2.7,0.5,,09:00
AFG,XLF,0.52,0.6,0.49,0.453061,-0.538776,0.7–0.8,0.0;0.2,,
AFK,IWM,0.63,0.42,0.91,0.508791,-0.066593,0.2,0.2,,09:00
AFL,XLF,0.51,0.57,0.43,0.400233,-0.579302,0.2,0.0–0.1;0.3–0.4,,09:00
AFRM,SPY,0.9,3.04,2.51,1.639044,-1.044303,0.2–0.6;0.8;1.3,0.0–0.2;0.4,00:00–03:30;05:00;06:00–08:30,07:00–08:00;09:00
AFRU,SPY,0.86,4.21,3.96,4.160808,-0.499015,2.7,0.1,,09:00
AFYA,SPY,0.73,0.48,1.1,0.293091,-0.367273,0.3–0.4;0.8,0.2,,09:00
AGCO,SPY,0.69,0.94,0.83,0.431325,-0.604337,,0.0–0.3,01:00–09:30,09:00
AGD,SPY,0.83,1.17,0.75,1.094667,-0.181867,0.3,0.1–0.3,,09:00
AGFY,NONE,0.44,0.18,0.16,,,,,,
AGG,SPY,0.44,0.18,0.16,0.98375,-3.8925,2.7,0.1,02:00;05:30,09:00
