ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
EXP,IWM,0.85,0.93,0.89,0.219775,-1.014494,0.3,0.2,,09:00
EXPD,IWM,0.54,0.17,0.9,0.612667,-0.573,0.2,0.2,,09:00
EXPE,IWM,0.74,0.48,1.66,0.459759,-0.513976,0.3–0.5;0.7,0.4,,09:00
EXPI,IWM,0.89,1.16,1.71,0.032749,-0.482807,0.3–0.5;0.7;0.9,0.0–0.1,,09:00
EXPO,IWM,0.67,0.44,0.41,0.73561,-0.441951,0.7,0.2–0.3,,
EXR,IWM,0.34,0.23,0.67,0.46597,-0.471194,0.4,0.2,,
EXTR,SPY,0.93,1.86,1.72,0.863372,-0.296163,1.3;2.7,0.0–0.1;0.3,,09:00
EYE,IWM,0.82,0.89,1.35,0.235926,-0.591333,0.3;1.0,0.0;0.2–0.3,,09:00
EZA,SPY,0.78,1.29,1.38,1.465942,-0.888406,0.3,0.3,,09:00
EZBC,IWM,0.77,2.01,1.83,2.016339,-2.090929,,0.2–0.3,,
EZET,IWM,0.76,3.3,2.62,4.99542,-2.384351,1.0,0.0–0.2,00:00;02:30;04:30,09:00
EZJ,IWM,0.61,0.86,1.78,0.530787,,,,,09:00
EZPW,XLF,0.86,1.5,0.75,1.86,-0.42,1.4,0.2–0.3,,09:00
EZPZ,IWM,0.69,2.13,2.05,1.708634,-2.295683,,,,
EZU,IWM,0.83,0.69,0.54,0.741667,-0.344074,1.1,0.2,03:00–09:30,09:00
F,IWM,0.69,0.57,0.69,0.50087,-0.484638,0.2–0.5;0.8,0.0–0.4;0.6,00:00–02:00;03:00–05:00;07:00–09:30,08:00
FA,IWM,0.87,1.01,1.44,-0.205278,-0.486667,0.4,0.2,,09:00
FAF,XLF,0.69,1.2,0.58,0.427586,-0.286207,1.2;2.7,0.5,,
FALN,SPY,0.87,0.27,0.15,3.152,-4.177333,2.0,0.1,,
FAN,SPY,0.8,0.99,0.81,0.225926,-0.490864,0.3;0.5,0.2;0.4,,09:00
FANG,XLE,0.96,1.66,0.89,1.299551,0.155506,0.8;1.3;1.5,0.0;0.2,,09:00
FAS,IWM,0.88,1.27,0.94,0.490638,-0.512872,0.2;0.7–0.8,0.0–0.1;0.3;0.5,00:00;03:30;07:00–09:30,08:30
FAST,IWM,0.5,0.21,0.74,0.879324,-0.144595,0.3–0.4,0.2–0.3,,08:30–09:00
FBCG,SPY,0.98,1.57,0.79,1.313165,-1.062278,0.4;0.8,0.0,,09:00
FBIN,IWM,0.73,0.74,1.2,0.5365,-0.4775,0.5–0.6,0.0–0.2,,09:00
FBK,KRE,0.89,0.81,0.65,1.041231,-0.245846,0.8,0.1;0.4–0.5,,09:00
FBL,SPY,0.89,3.09,3.13,1.556038,-1.996134,0.2–0.4;0.7–0.8;1.1–1.2;1.4,0.0–0.2;0.4,00:00–00:30;01:30–02:00;03:00–05:00;06:00;08:00,09:00
FBNC,KRE,0.9,0.85,0.53,0.833962,-0.922642,0.6,0.2;0.4–0.6,,09:00
FBND,SPY,0.5,0.18,0.15,1.025333,-1.866667,,0.0,,09:00
FBP,KRE,0.84,0.71,0.65,0.759231,-0.953231,0.7,0.1–0.3,,09:00
FBRT,SPY,0.6,0.22,0.38,0.764737,-0.553158,0.7,0.0–0.1,03:30–09:30,09:00
FBTC,IWM,0.73,1.96,1.83,1.908415,-2.07235,0.3;0.5–0.6,0.1–0.3,00:00–00:30;01:30,08:30–09:00
FBY,SPY,0.86,1.16,1.27,0.181417,-0.689134,0.2–0.4;0.6,0.3–0.4,05:30–09:30,09:00
FBYY,QQQ,0.71,0.47,2.44,,,,,,
FCF,NONE,0.49,0.11,0.68,,,,,,
FCFS,IWM,0.49,0.11,0.68,1.135735,-0.636471,0.2;0.4,0.2,,
FCG,IWM,0.61,0.43,0.72,0.590556,-0.561944,0.5;0.9,0.1;0.3,,09:00
FCN,IWM,-0.15,0.0,0.58,0.862069,-1.637931,0.3;0.9,0.2,,
FCNCA,XLF,0.81,0.99,0.6,0.144667,-0.150667,0.5;1.0,0.1–0.2;0.4,,09:00
FCPT,IWM,-0.08,0.1,0.45,1.302222,-0.728889,0.5;0.8,0.3,,
FCRS.U,QQQ,0.25,0.0,0.51,0.666667,-1.843137,,,,09:00
FCX,IWM,0.81,1.6,1.87,0.791444,-0.845989,0.2–0.6,0.0;1.1,00:00–00:30;01:30–04:30;05:30–06:00;07:30–09:30,08:00–09:00
FDD,SPY,0.64,0.41,0.55,0.578727,-0.815818,0.5,0.2,,09:00
FDIG,IWM,0.91,2.67,1.95,1.230872,-3.355436,2.1,0.3,,09:00
FDL,IWM,0.51,0.22,0.25,1.6424,-1.5344,1.6,0.2,,09:00
FDN,SPY,0.97,1.31,0.7,1.006429,-1.452429,0.6,0.3,,09:00
FDP,IWM,-0.11,0.0,0.54,1.0,-1.722222,0.5,0.2,,
FDS,XLF,0.67,0.8,0.55,0.163636,-0.141818,,0.0–0.3,,09:00
FDUS,XLF,0.4,0.22,0.34,0.711176,-0.640588,0.6;0.9,0.1–0.3,,09:00
FDVV,SPY,0.94,0.65,0.28,0.085714,-1.108929,0.6–0.8,0.0–0.2,00:00;03:00–03:30,09:00
FDX,SPY,0.71,0.75,0.69,0.438406,-0.57971,0.2–0.4;0.8,0.0;0.2–0.4,00:00;02:30,09:00
FE,IWM,0.06,0.09,0.39,1.242821,-0.808205,1.3,0.2–0.3,,08:30
FEAT,SPY,0.96,2.41,1.07,1.382056,-3.049065,2.7,0.1,,09:00
FEIM,IWM,0.89,1.88,2.27,0.465374,-0.487577,1.6,0.0–0.3,05:00–09:30,09:00
FELE,IWM,0.77,0.53,0.83,0.73759,-1.255542,0.3;0.5,0.1,,09:00
FELG,SPY,0.99,1.41,0.63,1.028254,-0.446349,,0.0,,09:00
FENI,QQQ,0.89,0.77,0.54,0.300556,-1.440556,0.8,0.0;0.4,,09:00
FENY,IWM,0.55,0.29,0.51,0.97549,-0.735686,0.5,0.2,,09:00
FEPI,QQQ,0.96,0.96,0.64,0.0825,-0.025,0.3;0.5,0.1–0.2;0.9,05:00,09:00
FER,SPY,0.48,0.3,0.92,0.442391,-0.761957,0.2,0.0–0.1;0.3,03:00–09:30,09:00
FERG,SPY,0.71,0.68,1.52,0.281053,-0.364211,0.2–0.3;0.6,0.1–0.2,03:30–09:30,09:00
FET,XLE,0.86,0.96,0.97,0.050309,-0.043711,0.7,0.1–0.2,,09:00
FETH,IWM,0.76,3.35,2.63,4.964449,-2.529658,2.7,0.1;0.3,02:30;07:30,09:00
FEZ,SPY,0.82,0.74,0.57,0.396491,-0.739649,0.6–0.8,0.2,,09:00
FFBC,KRE,0.91,0.84,0.57,1.010526,-0.289123,0.6–0.7,0.2;0.4;1.1,,09:00
FFIC,NONE,0.87,0.85,0.57,,,,,,
FFIN,KRE,0.87,0.85,0.57,0.223684,-1.492982,0.2;0.8,0.0–0.1,,09:00
FFIV,SPY,0.74,0.79,1.4,0.307714,-0.374429,0.4,0.2,,09:00
FFTY,SPY,0.95,2.81,1.42,2.334085,-2.178099,2.5,0.0–0.1,,09:00
FGDL,IWM,0.44,0.88,1.01,0.859802,-1.182178,,0.0;0.2,,08:00
FGF,NONE,0.45,0.98,5.28,,,,,,
FGNX,SPY,0.45,0.98,5.28,0.500985,-0.234735,0.3–0.5;0.8;1.0–1.1;2.7,0.0;0.3;0.7,03:00;04:30–05:00;06:30–09:30,09:00
FHB,KRE,0.92,0.8,0.63,0.31746,-0.466667,0.5–0.6,0.3–0.4,,09:00
FHI,XLF,0.86,0.99,0.53,0.717358,-0.307736,,0.2–0.4,,09:00
FHLC,IWM,0.57,0.16,0.31,1.876129,-1.376774,0.7,0.2,,09:00
FHN,KRE,0.92,1.0,0.78,0.269231,0.141026,0.3;0.5–0.6,0.1,,09:00
FI,NONE,0.91,0.94,0.67,,,,,,
FIBK,KRE,0.91,0.94,0.67,0.526269,-0.356716,0.4;0.7,0.3,,
FICO,XLF,0.61,1.11,2.38,0.29937,-0.524454,0.2,0.2,,09:00
FIG,SPY,0.82,3.21,3.08,1.960844,-1.901266,0.2–0.8;1.6,0.0–0.3,00:00–01:00;02:00–04:30;06:30–09:30,02:30;07:00;08:30
FIGG,IWM,0.95,4.52,3.77,0.634058,-1.868011,2.7,,,
FIGR,IWM,0.89,2.81,2.51,1.250239,-1.028805,2.7,0.0–0.3,00:00–00:30;04:00;07:30–09:30,09:00
FIHL,XLF,0.54,0.57,0.63,0.556508,-1.204444,0.6;1.0,0.1–0.3,,09:00
FINX,IWM,0.94,1.19,0.88,1.308409,-0.634659,0.3;1.3,0.2,,09:00
FIS,XLF,0.52,0.41,1.03,0.414757,-0.259903,0.3,0.2;0.5,,09:00
FISI,KRE,0.84,0.82,0.92,0.861522,-0.41913,0.2,0.4,,09:00
FITB,XLF,0.88,1.26,0.67,0.251343,-0.11194,0.6–0.7;0.9;2.7,0.0–0.3,,09:00
FITE,IWM,0.95,1.29,1.03,1.012087,-0.1238835,,,,09:00
FIVE,IWM,0.75,1.03,1.42,0.024014,-0.821901,0.5;0.7,0.0;0.3,02:30–09:30,09:00
FIVN,SPY,0.9,2.19,1.25,-0.6452,0.21624,2.1;2.7,0.0–0.1,,09:00
FIVY,IWM,0.89,1.43,1.26,0.603095,-2.475635,,,,
FIW,IWM,0.94,0.47,0.37,1.108108,-1.098649,2.7,0.2,,09:00
FIX,IWM,0.93,1.62,2.31,0.57013,-0.791169,0.4,0.1;0.4,,09:00
FIZZ,IWM,-0.13,-0.02,0.42,1.263333,-2.374286,1.0,0.2,,
FL,NONE,0.82,1.13,0.85,,,,,,
FLBR,SPY,0.82,1.13,0.85,0.351765,-0.663176,0.4,0.0,01:00–09:30,09:00
FLCH,SPY,0.7,1.42,1.12,0.919464,-0.89375,2.7,0.1–0.2,,09:00
FLEX,QQQ,0.94,1.47,1.68,-0.09506,0.19006,0.3;0.8,0.0–0.3,03:30,09:00
FLG,KRE,0.92,1.19,0.83,0.418675,-0.564819,0.7–0.8;1.3–1.4,0.1;0.3–0.4,,08:30
FLGC,SPY,0.36,2.33,9.47,0.931595,-1.2775025,,0.0,,09:00
FLGT,IWM,0.57,0.5,1.15,0.286957,-0.86087,0.3,0.4,,09:00
FLIN,QQQ,0.44,0.46,0.58,0.895517,-1.657931,1.1,0.3,02:00,09:00
FLJH,IWM,0.58,0.54,0.96,0.823125,-0.894167,,,,09:00
FLJP,SPY,0.59,0.58,0.77,0.462597,-0.452208,0.2,0.2–0.3,,09:00
FLKR,SPY,0.92,3.11,1.56,5.229423,-2.63641,2.7,0.0,00:00,09:00
FLMX,NONE,0.5,0.1,0.62,,,,,,
FLNG,SPY,0.5,0.1,0.62,0.733871,-0.809677,0.3,0.1,03:00–09:30,07:30;09:00
FLO,IWM,0.17,0.16,0.81,0.422716,-0.453333,0.2–0.3,0.1–0.3,,09:00
FLOC,XLE,0.79,1.06,1.12,2.218929,-0.78375,0.8,0.1,,09:00
FLOT,SPY,0.48,0.04,0.02,24.5,-27.78,2.7,0.0–0.1,,09:00
FLR,SPY,0.87,2.17,1.51,0.461523,-2.201126,2.3;2.7,0.0–0.2;0.4,00:30;01:30;03:30–04:00;06:30,08:00–09:00
FLRN,SPY,0.42,0.06,0.02,8.71,-24.52,2.7,0.0–0.1,,09:00
FLRT,SPY,0.5,0.08,0.06,2.406667,-11.92,2.7,0.0,,09:00
FLS,SPY,0.94,1.52,1.45,0.404138,-0.324966,0.3;0.7,0.0–0.1;0.3,,09:00
FLTR,QQQ,-0.05,0.0,0.03,4.0,-31.333333,2.7,0.1,,09:00
FLTW,SPY,0.86,1.39,1.03,0.98534,-0.506699,0.2,0.3,,09:00
FLUT,IWM,0.51,0.5,1.27,0.46063,-0.425197,0.2–0.3,0.2–0.3,01:30;04:00,09:00
FLXS,SPY,0.54,0.18,3.48,0.3950285,-0.202586,,,,
FLY,QQQ,0.71,0.79,4.28,0.533575,-0.328224,0.2,0.0;0.2–0.5,00:00;02:00;03:30–04:30;07:00–09:30,08:30
FLYT,IWM,0.96,7.29,12.4,,,,,,
FLYW,XLF,0.69,0.85,1.29,0.452326,-0.313566,0.3–0.5,0.0–0.3,,09:00
FMC,IWM,0.87,1.19,3.16,0.062373,-0.457437,0.2–0.3;0.5;0.7,0.2;0.4,00:00;03:00;06:00,09:00
FMNB,KRE,0.87,0.69,0.6,0.336,-1.502833,1.0,0.4,,
FMS,IWM,0.28,0.18,1.59,0.220377,-0.601887,0.2,0.2;0.6,04:00–09:30,07:30;08:30–09:00
FMX,IWM,0.49,0.3,0.72,0.925,-0.259722,0.4,0.1;0.3,,09:00
FN,QQQ,0.92,2.72,2.4,1.297,-0.9765,2.7,0.0,,08:30–09:00
FNB,KRE,0.96,0.88,0.67,0.330149,-0.119403,0.2–0.3;0.5,0.3–0.4,,09:00
FNCL,IWM,0.9,0.46,0.31,1.310968,-1.22129,1.0;1.4,0.2,,
FND,IWM,0.72,0.86,1.44,0.331944,-0.299028,0.5–0.7,0.1;0.3,,09:00
FNDA,IWM,0.99,0.79,0.53,0.717547,-0.163019,0.3;0.5,0.0;0.3,,09:00
FNDE,SPY,0.86,1.12,0.65,0.921231,-0.814154,0.5,0.1,,09:00
FNDF,SPY,0.89,0.8,0.49,-0.02449,-0.942857,0.4;1.0,0.1–0.2,,09:00
FNDX,SPY,0.94,0.75,0.31,0.790323,-0.903226,1.1,0.0–0.1,,08:30
FNF,XLF,0.63,0.97,0.81,0.444444,-0.219012,0.3;0.5;0.7,0.1–0.3,,09:00
FNGG,QQQ,0.98,2.4,1.63,1.503067,-1.602454,,0.4,,
FNGO,QQQ,0.93,2.53,1.7,2.510353,-1.474059,,0.1,,09:00
FNGS,SPY,0.96,1.7,0.85,1.584706,-0.829412,0.6;2.7,0.2,03:30,08:30
FNGU,QQQ,0.98,3.43,2.27,2.923877,-2.282952,0.2;0.4–0.7;0.9;1.3;1.9,0.0–0.3,00:00–00:30;01:30–03:00;04:00–04:30;06:30–07:00;08:00–08:30,02:00;07:00;08:30
FNV,GDX,0.96,0.65,1.28,0.724219,-0.614453,0.4–0.6,3.0,04:00;05:30–09:30,08:30
FOA,SPY,0.84,1.46,1.15,0.694957,-1.062609,1.7;2.7,0.3,,09:00
FOFO,QQQ,-0.11,0.01,9.03,,,,,,
FORD,IWM,0.7,3.46,12.27,0.360456,-0.665053,0.9–1.0;2.7,0.0–0.1,02:30;07:00–09:30,08:00;09:00
FORM,SPY,0.9,3.1,2.84,1.454225,-1.520423,2.7,0.1;0.3,04:00–09:30,09:00
FOUR,SPY,0.82,1.17,1.23,0.103659,-0.52252,0.2;0.4;0.6–1.0,0.0–0.3,00:00–01:00;02:30;07:00–09:30,02:30;09:00
FOX,SPY,0.59,0.09,0.9,0.881444,-0.648,0.8,0.2,,
FOXA,IWM,0.71,0.33,0.9,0.828333,-0.798667,0.4–0.6;0.8,0.2,,09:00
FOXF,IWM,0.78,0.98,3.05,0.00577,-0.184852,0.2,,,09:00
FPI,IWM,0.6,0.32,0.45,1.520889,-0.584,0.8,0.4,,09:00
FPX,SPY,0.97,2.01,0.95,0.701579,-3.557579,0.6,0.1,,
FR,IWM,0.83,0.52,0.53,0.901132,-0.34566,0.8,0.2,,09:00
FRGE,SPY,0.76,1.97,8.4,0.09569,-0.29881,0.5,0.3,,07:30;09:00
FRHC,SPY,0.78,0.94,1.01,0.868515,-0.11604,0.9,0.1,04:00–09:30,09:00
FRME,KRE,0.94,0.92,0.55,0.158545,-0.453091,0.4–0.5,0.1–0.3,,
FRMI,IWM,0.75,3.4,4.06,2.092611,-0.074384,2.7,0.0–0.1;0.3–0.4,05:00,08:00
FRO,SPY,0.43,0.78,1.72,0.331512,-0.975465,0.2–0.3;0.5,0.0–0.1,02:30–04:00;07:00–09:30,08:30
FROG,QQQ,0.84,1.02,2.57,-0.027704,-0.285914,0.2;0.4,0.0–0.2,03:30,09:00
FRPT,IWM,0.34,0.39,1.63,0.152945,-0.573558,0.2–0.3,0.2–0.3,,09:00
FRSH,SPY,0.91,1.78,0.96,-0.78125,-0.124792,1.1;2.7,0.0–0.1;0.6,01:30;05:00–09:30,09:00
FRT,IWM,0.42,0.2,0.53,1.483019,0.056604,0.3,0.2,,
FSK,SPY,0.85,0.68,0.55,-0.150545,-1.023273,0.4;0.7–0.9,0.0–0.2,03:30;04:30,09:00
FSLR,IWM,0.79,1.28,1.77,-0.244972,-0.186215,0.2–0.6;1.2,0.1–0.3;0.5,00:00–01:00;02:00–03:30;05:00;07:00,03:30;09:00
FSS,SPY,0.83,1.04,0.68,0.674706,-0.545294,0.7–0.8,0.1;0.3,01:30–09:30,09:00
FSTA,IWM,-0.17,0.04,0.28,1.648571,-1.458571,0.7,0.2,,09:00
FSV,IWM,0.48,0.32,0.6,0.59,0.114,0.3,0.0;0.5,,09:00
FTAI,SPY,0.85,1.74,1.3,1.377385,-1.018615,2.7,0.0–0.2,00:00;03:30–09:30,09:00
FTDR,SPY,0.5,0.47,1.01,0.280495,-0.88495,0.4,0.0,,09:00
FTEC,QQQ,0.99,1.27,0.84,0.194286,0.011548,0.6,0.0,04:00,09:00
FTGC,IWM,0.48,0.4,0.55,0.596364,-1.290909,0.4,0.6,,09:00
FTHI,SPY,0.91,0.84,0.33,0.162424,-0.910303,0.7,0.0;0.2,,09:00
FTI,XLE,0.78,1.09,0.96,-0.001458,-0.297917,0.5,0.1;0.5,,09:00
FTK,SPY,0.81,1.7,1.45,-0.002069,-1.322069,2.1,0.0;0.4,04:00,09:00
FTNT,IWM,0.72,0.89,1.71,0.266959,-0.314854,0.2–0.4,0.0–0.2;0.4;0.6,00:00;03:00–03:30;04:30;06:00–06:30;07:30–09:30,03:00;08:30–09:00
FTS,IWM,-0.07,0.07,0.26,2.109231,-1.601154,1.3,0.2,,
FTSM,SPY,0.22,0.0,0.03,16.333333,-18.0,2.7,0.0–0.1,,09:00
FTV,IWM,0.85,0.74,1.56,0.67359,-0.359744,0.2,0.0–0.2,,09:00
FTXL,QQQ,0.93,1.97,1.35,1.41963,-2.477778,,,,
FUL,IWM,0.76,0.84,1.12,0.545714,-0.333214,0.2,0.1–0.2,00:30–09:30,09:00
FULT,KRE,0.96,0.9,0.59,0.557627,-0.833898,0.2;0.4;0.6,0.0–0.3,,09:00
FUN,IWM,0.69,1.26,1.19,-0.897479,-0.341345,0.9;1.7,0.0–0.1;0.4–0.5,,09:00
FUSE,SPY,-0.09,0.95,22.03,0.008897,-0.4225375,,,,
FUTG,SPY,0.95,5.79,4.43,7.380384,-7.7440295,,,,
FUTU,SPY,0.86,3.53,2.04,2.037598,-1.608676,0.3–0.4;0.6,0.0;0.2,00:00–02:00;03:00,01:30;03:00
FUTY,IWM,0.8,0.32,0.29,1.442759,-1.267586,0.9,0.2,,
FVD,IWM,0.65,0.23,0.21,2.549524,-1.733333,2.0,0.2,,
FVRR,IWM,0.73,1.04,1.11,0.414414,-0.138018,0.8;1.1,0.0–0.2,03:00–09:30,09:00
FWONA,SPY,0.69,0.51,0.46,0.244783,-1.7,0.6,0.0,,09:00
FWONK,IWM,0.83,0.48,0.5,1.424,-0.328,0.4,0.3;0.5,,09:00
FWRD,IWM,0.72,0.93,3.15,0.055397,-0.134508,0.2,0.2,,08:30–09:00
FWRG,IWM,0.81,0.96,1.58,0.505316,-0.345316,0.2–0.3,0.1–0.2;0.7,,09:00
FXA,SPY,0.76,0.46,0.33,,-1.061212,,,,
FXB,SPY,0.58,0.28,0.31,0.935484,-0.909677,,0.1,,
FXE,IWM,0.44,0.12,0.24,2.97,-1.286667,2.7,0.2,,09:00
FXF,SPY,0.23,0.13,0.28,1.629286,-2.160714,0.3,0.1,,09:00
FXI,IWM,0.71,1.16,1.08,0.445185,-0.828519,0.2–0.7,0.0–0.1;0.7,00:00–01:00;02:00;07:30,04:00
FXN,QQQ,0.73,0.47,0.68,0.848088,-1.254118,0.7,0.2,,09:00
FXU,IWM,0.65,0.25,0.27,1.953704,-2.564815,2.7,0.2,,
FXY,QQQ,-0.14,-0.04,0.43,0.67907,-2.184186,0.4,0.1–0.2,04:00;05:00–09:30,08:00;09:00
FYBR,KWEB,0.21,0.02,0.21,4.45619,-2.962857,2.7,0.4–0.5,,
G,IWM,0.66,0.36,1.56,0.508974,-0.607179,0.2,0.4,,09:00
GAIN,SPY,0.54,0.48,0.39,1.133333,-0.757949,0.4,0.2,03:00,09:00
GAMB,IWM,0.85,0.89,3.6,0.092194,-0.225486,0.2–0.5,0.0–0.2;0.4,00:00;03:30;07:00–09:30,09:00
GAP,IWM,0.76,0.92,0.99,-0.302222,0.147071,0.2–0.8;1.0–1.1;1.4,0.0–0.3;0.5,00:00;03:30;06:30–09:30,08:30–09:00
GATX,XLF,0.73,0.98,0.73,0.084932,0.040548,0.3,0.1;0.4,,09:00
GBCI,KRE,0.94,1.15,0.7,0.515,-0.035,0.5–0.8,0.1;0.3,,09:00
GBDC,SPY,0.76,0.58,0.32,0.820625,-1.57875,0.4;1.1,0.0,,09:00
GBIL,SPY,0.27,0.03,0.01,49.03,-54.96,2.7,0.0–0.1,,09:00
GBTC,IWM,0.73,1.96,1.83,1.919126,-2.061639,0.6,0.3,03:00,09:00
GBUG,SPY,0.55,1.85,2.03,1.735961,-1.459606,1.0,0.0–0.2,,09:00
GBX,IWM,0.88,0.9,1.19,0.321008,-0.192437,0.4,0.1,,
GCMG,XLF,0.67,0.34,0.71,0.438873,-0.534366,0.5,0.2–0.3,,09:00
GCT,SPY,0.84,1.94,1.81,1.635359,-0.197569,0.8;1.4,0.0–0.2;0.4,04:00;07:00,09:00
GD,IWM,0.19,0.15,0.67,0.569403,-1.058209,0.3;0.5,0.2,,08:30–09:00
GDDY,SPY,0.77,0.59,0.51,0.171373,-0.346863,0.9,0.0–0.2,03:00–09:30,09:00
GDE,QQQ,0.72,0.81,1.15,1.058174,-0.57087,0.2,0.1,,09:00
GDEN,IWM,0.81,0.49,4.99,0.2320945,-0.25954900000000003,,,,
GDEV,QQQ,0.3,1.72,4.98,2.842651,-1.51759,2.7,,,
GDLC,IWM,0.7,1.66,2.07,2.865121,-1.265797,,0.0,00:00,07:00
GDMN,QQQ,0.48,1.35,2.48,1.931048,-1.879637,1.3,0.0–0.1;0.3,,09:00
GDOT,SPY,0.82,1.42,0.95,0.725684,-1.137474,1.0;1.4;2.7,0.1–0.3,03:30–09:30,09:00
GDS,KWEB,0.82,1.26,2.58,0.836357,-0.10124,0.2;0.4–0.7,0.3;0.5;1.4;1.8,01:00–01:30,09:00
GDX,QQQ,0.55,1.34,1.81,1.680331,-1.284641,0.2–0.8,0.1–0.2;0.4–0.6,00:00;01:00–01:30;02:30–04:00;05:00–07:00;08:00–09:30,03:30;08:30
GDXJ,QQQ,0.58,1.64,1.98,2.177374,-1.827475,0.2–0.7;0.9,0.0–0.2;0.4–0.5,00:00;01:00;02:30–04:00;05:00–07:00;08:00–08:30,04:00
GDXU,QQQ,0.56,4.39,5.57,-0.524596,-3.759838,0.4;1.2,0.0–0.2;0.4,00:00–03:00;07:30–09:30,02:00;08:30
GDXW,IWM,0.95,1.47,2.65,,,,,,
GDXY,IWM,0.49,0.88,1.57,0.833631,-0.997197,0.2–0.3;0.5,0.0–0.2,04:30–05:00,07:00
GE,IWM,0.82,0.61,0.63,0.600635,-0.343333,0.2–0.6,0.0–0.2;0.4;0.6,00:30–03:30;06:30–09:30,03:30;09:00
GECC,SPY,0.17,0.0,0.68,0.647059,-0.588235,0.2,0.1,,
GEHC,IWM,0.84,0.55,0.7,0.486429,-0.537143,0.2–0.4;0.8,0.0–0.3;0.5,00:00;02:30;05:30–09:30,09:00
GEMI,IWM,0.83,1.95,2.53,0.631423,-1.030237,0.2;0.5–0.6,0.0–0.4,00:30;03:00–04:00,09:00
GEN,IWM,0.63,0.43,0.52,1.019423,-0.543269,0.8,0.1–0.2;0.4,03:00–09:30,08:00;09:00
GEND,SPY,0.44,0.24,0.54,,,,,,
GENI,SPY,0.76,0.67,0.84,-0.291905,-0.197738,0.3;0.7;1.5;2.7,0.0–0.4,01:00;02:00;03:00–03:30;06:00,09:00
GEO,SPY,0.71,0.9,1.01,-0.69505,-0.535644,0.3;0.6–0.7;1.0;2.7,0.1–0.2;0.5,00:00–01:00;06:00;07:00–09:30,09:00
GEOS,IWM,0.79,1.73,1.92,0.020833,-0.976562,2.7,0.0–0.2,00:30,09:00
GES,IWM,0.68,0.25,3.19,0.341693,-0.388715,,,,
GEV,SPY,0.9,2.24,1.28,1.286563,-1.827188,0.4;1.9;2.2,0.0–0.1;0.4;0.6,00:00–01:00;03:30;06:30–07:00,07:00;08:30
GEVX,QQQ,0.89,3.4,2.67,2.067416,-1.752809,2.7,0.0–0.1,02:30,09:00
GFF,IWM,0.77,0.63,0.62,0.840484,-0.204194,0.4,0.1,,09:00
GFI,GDX,0.94,1.15,2.57,0.508755,-0.390272,0.2–0.4;0.6,0.3–0.5;0.8;1.4,01:00–01:30;02:30–03:00;04:00–05:00;06:00;07:00,07:00
GFL,IWM,-0.14,-0.03,0.48,1.15,-1.376042,0.7,0.2,,09:00
GFS,SOXL,0.79,0.21,2.03,1.115813,-1.819852,0.2;0.4,0.9,00:30;03:30;07:00–09:30,09:00
GGAL,SPY,0.77,1.66,6.32,0.751234,-0.106203,0.2;0.5,0.2,,09:00
GGG,IWM,0.82,0.46,0.42,0.975714,-0.417619,0.8,0.2–0.3,,09:00
GGLL,SPY,0.86,2.53,2.82,0.89695,-0.325496,0.2–0.6;0.9;1.1,0.0–0.3,00:00–01:00;02:00;03:00–05:00;06:00–06:30;07:30–09:30,05:30
GGLS,IWM,-0.76,-0.77,1.4,0.243143,-0.400786,0.2–0.3;0.6,0.0–0.1;0.4;0.7,00:30;04:30–09:30,08:00–08:30
GH,SPY,0.61,0.93,3.5,0.017571,-0.583629,0.2–0.4,0.2,04:00,09:00
GHC,IWM,0.77,0.55,0.62,0.560484,-1.433871,,0.1;0.3,,09:00
GHI,SPY,0.4,0.18,0.63,0.437778,-0.989841,0.2;0.4,0.0,,09:00
GHM,IWM,0.9,1.37,1.09,1.305046,-0.357798,2.7,0.0–0.2,,09:00
GHRS,SPY,0.84,1.08,0.99,-0.087273,-0.547071,2.7,0.1,,09:00
GIAX,IWM,0.87,0.66,0.52,1.143077,-0.889231,2.7,0.1–0.2,04:00–09:30,09:00
GIB,IWM,0.51,0.24,0.4,1.2,-0.787,0.9,0.2,,
GIII,IWM,0.76,0.61,0.8,0.76475,-1.03675,0.6,0.2,,09:00
GIL,IWM,0.68,0.49,0.5,0.6962,-0.6464,0.5–0.6;0.8,0.0;0.3,,09:00
GILD,IWM,-0.25,-0.21,0.71,0.501127,-0.582535,0.2,0.1,03:00,03:00;09:00
GIS,IWM,-0.28,-0.11,0.46,0.807609,-0.792609,0.2–0.3;0.5,0.1–0.3,02:30;04:30;06:00,07:00;08:30–09:00
GKOS,IWM,0.54,0.73,3.11,0.167492,-0.247524,0.2–0.3,0.2,,09:00
GL,XLF,0.72,0.69,0.46,0.728696,-0.67,0.8,0.0–0.1;0.3,,09:00
GLAD,IWM,0.36,0.11,0.43,0.973488,-0.83,1.1–1.2,0.2;0.4,,09:00
GLBE,IWM,0.87,1.15,1.08,0.227315,0.106944,1.0;1.7;2.0;2.7,0.0–0.2;0.6;1.3,00:00;01:00;04:00,08:30–09:00
GLD,IWM,0.54,0.89,1.0,0.2269,-0.9638,0.2–0.8,0.0–0.4;0.7;1.0,00:00–04:30;05:30;06:30–07:00;08:00;09:00–09:30,07:30
GLDD,IWM,0.88,0.75,0.74,0.648649,-0.489865,0.4;0.8,0.1–0.2,,09:00
GLDI,IWM,0.01,0.0,0.44,0.75,-0.636364,,,,
